resume_id,skills,experience,education,resume_text,job_description,label
80,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
81,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
82,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
83,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
84,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
85,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
86,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
87,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
88,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
89,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
90,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
91,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
92,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
93,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
94,"NLP, Deep Learning, PyTorch",2,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
95,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
96,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
97,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
98,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
99,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
100,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
101,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
102,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
103,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
104,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
105,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
106,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
107,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Backend Developer using Java and Spring,0
108,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
109,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
110,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
111,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
112,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
113,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
114,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
115,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Frontend Developer with React,0
116,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
117,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
118,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
119,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
120,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
121,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
122,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
123,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
124,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
125,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
126,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
127,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
128,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
129,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
130,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
131,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Data Scientist with Python and ML experience,0
132,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
133,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
134,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
135,"React, JavaScript, HTML, CSS",5,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
136,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
137,"React, JavaScript, HTML, CSS",4,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
138,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
139,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
140,"React, JavaScript, HTML, CSS",5,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
141,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
142,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
143,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
144,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
145,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
146,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
147,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
148,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
149,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
150,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
151,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
152,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
153,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
154,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
155,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
156,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
157,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
158,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
159,"Data Analysis, Excel, Power BI",0,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
160,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
161,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
162,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
163,"Data Analysis, Excel, Power BI",0,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
164,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
165,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
166,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
167,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
168,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
169,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
170,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
171,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
172,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
173,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
174,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
175,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
176,"Data Analysis, Excel, Power BI",5,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
177,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
178,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
179,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Backend Developer using Java and Spring,0
180,"Java, Spring Boot, SQL",3,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
181,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
182,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
183,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
184,"Java, Spring Boot, SQL",3,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
185,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
186,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
187,"React, JavaScript, HTML, CSS",4,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
188,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Frontend Developer with React,0
189,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
190,"React, JavaScript, HTML, CSS",4,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
191,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
192,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
193,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
194,"Data Analysis, Excel, Power BI",5,B.Tech,Data Analysis Excel Power BI,Frontend Developer with React,0
195,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Backend Developer using Java and Spring,0
196,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
197,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
198,"Python, Machine Learning, Pandas",4,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
199,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
200,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
201,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
202,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
203,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
204,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
205,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
206,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
207,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
208,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
209,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
210,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
211,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
212,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
213,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
214,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
215,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
216,"Data Analysis, Excel, Power BI",0,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
217,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
218,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
219,"Java, Spring Boot, SQL",3,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
220,"Python, Machine Learning, Pandas",4,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
221,"React, JavaScript, HTML, CSS",4,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
222,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
223,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
224,"React, JavaScript, HTML, CSS",4,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
225,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
226,"Data Analysis, Excel, Power BI",0,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
227,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
228,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
229,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
230,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
231,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
232,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
233,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
234,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
235,"Data Analysis, Excel, Power BI",5,B.Tech,Data Analysis Excel Power BI,Frontend Developer with React,0
236,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Frontend Developer with React,0
237,"Data Analysis, Excel, Power BI",5,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
238,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
239,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
240,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
241,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
242,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
243,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
244,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
245,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
